,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vaini,-21.2,-175.2,293.15,94,75,2.1,TO,1593025381
1,krasnyy chikoy,50.36,108.75,284.11,87,85,0.09,RU,1593025771
2,bengkulu,-3.8,102.27,298.77,65,100,0.52,ID,1593025509
3,puerto ayora,-0.74,-90.35,300.15,61,20,1.5,EC,1593025511
4,petropavl,54.88,69.16,286.49,92,88,4.56,KZ,1593025772
5,bud,39.45,-86.18,298.71,47,75,3.1,US,1593025516
6,bambous virieux,-20.34,57.76,295.15,68,20,5.7,MU,1593025505
7,sesvete,45.83,16.12,296.48,56,1,2.1,HR,1593025772
8,juneau,58.3,-134.42,286.15,62,90,3.6,US,1593025667
9,ponta do sol,32.67,-17.1,296.15,60,20,7.2,PT,1593025507
10,vila velha,-20.33,-40.29,301.15,48,3,4.6,BR,1593025531
11,east london,-33.02,27.91,294.39,27,0,3.4,ZA,1593025390
12,kotaparh,19.15,82.35,299.77,77,32,1.35,IN,1593025564
13,narsaq,60.92,-46.05,284.15,53,75,5.1,GL,1593025534
14,bandarbeyla,9.49,50.81,301.63,67,0,6.95,SO,1593025466
15,airai,-8.93,125.41,287.15,100,39,1.56,TL,1593025532
16,aklavik,68.22,-135.01,280.15,87,90,2.6,CA,1593025531
17,zhigansk,66.77,123.37,291.65,59,82,3.25,RU,1593025399
18,cadillac,44.25,-85.4,294.15,30,75,4.6,US,1593025772
19,rikitea,-23.12,-134.97,294.46,54,100,3.84,PF,1593025740
20,ushuaia,-54.8,-68.3,276.15,86,75,7.2,AR,1593025773
21,coquimbo,-29.95,-71.34,288.15,72,0,4.6,CL,1593025773
22,alto araguaia,-17.31,-53.22,301.01,40,0,5.47,BR,1593025773
23,cartagena del chaira,1.33,-74.84,301.22,59,100,2.54,CO,1593025773
24,leningradskiy,69.38,178.42,274.03,87,99,5.96,RU,1593025525
25,bredasdorp,-34.53,20.04,287.15,93,0,1.09,ZA,1593025745
26,inuvik,68.35,-133.72,280.15,65,90,2.1,CA,1593025702
27,poum,-20.23,164.02,294.96,70,3,6.17,NC,1593025534
28,apiai,-24.51,-48.84,294.72,57,13,1.95,BR,1593025774
29,qaanaaq,77.48,-69.36,277.81,71,39,3.72,GL,1593025745
30,barrow,71.29,-156.79,272.15,92,90,2.6,US,1593025501
31,kodiak,57.79,-152.41,284.15,81,40,2.1,US,1593025522
32,nijar,36.97,-2.21,302.15,45,0,3.6,ES,1593025775
33,carnarvon,-24.87,113.63,285.15,93,0,3.1,AU,1593025521
34,alofi,-19.06,-169.92,291.15,100,18,1.0,NU,1593025534
35,hilo,19.73,-155.09,299.15,65,1,2.1,US,1593025435
36,punta arenas,-53.15,-70.92,277.15,77,90,9.3,CL,1593025299
37,severo-kurilsk,50.68,156.12,281.85,83,2,3.13,RU,1593025509
38,samarina,57.89,27.81,295.15,64,17,1.24,RU,1593025776
39,tura,25.52,90.22,297.27,95,100,2.85,IN,1593025776
40,lazaro cardenas,17.96,-102.2,304.1,62,18,5.92,MX,1593025563
41,hobart,-42.88,147.33,283.71,100,90,2.6,AU,1593025505
42,saint-philippe,-21.36,55.77,294.15,77,39,4.6,RE,1593025518
43,lambarene,-0.7,10.24,298.3,79,97,3.41,GA,1593025777
44,batemans bay,-35.72,150.18,278.15,100,1,1.92,AU,1593025533
45,marabba,12.35,32.18,305.08,42,58,4.58,SD,1593025777
46,emerald,-23.53,148.17,281.15,70,0,2.6,AU,1593025777
47,findhorn,57.66,-3.61,293.15,60,100,5.1,GB,1593025777
48,tarko-sale,64.92,77.78,284.26,87,38,3.18,RU,1593025777
49,hualmay,-11.1,-77.61,292.71,70,10,4.68,PE,1593025777
50,fortuna,40.6,-124.16,292.04,82,20,8.2,US,1593025540
51,thompson,55.74,-97.86,301.15,30,75,4.6,CA,1593025391
52,lagunas,-5.23,-75.68,305.73,46,10,1.82,PE,1593025777
53,kihei,20.79,-156.47,299.15,57,40,2.1,US,1593025665
54,albany,42.6,-73.97,301.48,36,0,0.45,US,1593025250
55,nuuk,64.18,-51.72,281.15,65,75,2.6,GL,1593025296
56,port alfred,-33.59,26.89,290.93,38,0,2.68,ZA,1593025387
57,kununurra,-15.77,128.73,290.15,29,0,2.6,AU,1593025778
58,mataura,-46.19,168.86,280.48,88,88,2.45,NZ,1593025506
59,avarua,-21.21,-159.78,297.15,88,52,2.6,CK,1593025513
60,ukiah,39.15,-123.21,306.48,38,1,2.58,US,1593025778
61,coihaique,-45.58,-72.07,279.15,56,20,2.6,CL,1593025533
62,constitucion,-35.33,-72.42,284.44,72,100,4.91,CL,1593025464
63,tuktoyaktuk,69.45,-133.04,277.15,80,75,4.6,CA,1593025509
64,busselton,-33.65,115.33,283.15,71,100,2.91,AU,1593025508
65,kandrian,-6.22,149.55,298.78,88,36,3.37,PG,1593025779
66,vila franca do campo,37.72,-25.43,292.15,59,20,6.7,PT,1593025510
67,tupik,54.43,119.93,284.11,69,58,1.27,RU,1593025779
68,upernavik,72.79,-56.15,274.23,91,100,0.64,GL,1593025510
69,shimoda,34.67,138.95,290.93,95,99,0.89,JP,1593025380
70,pangnirtung,66.15,-65.71,277.15,93,90,7.2,CA,1593025744
71,hithadhoo,-0.6,73.08,302.02,77,96,4.87,MV,1593025505
72,arraial do cabo,-22.97,-42.03,300.15,51,0,6.2,BR,1593025518
73,guilin,25.28,110.29,298.15,94,75,2.0,CN,1593025779
74,komsomolskiy,40.43,71.72,297.15,33,0,2.1,UZ,1593025779
75,kapaa,22.08,-159.32,299.26,74,20,5.7,US,1593025510
76,port elizabeth,-33.92,25.57,288.15,51,0,1.5,ZA,1593025376
77,kushima,31.46,131.23,295.93,83,100,1.79,JP,1593025779
78,muroto,33.28,134.15,296.69,86,100,2.02,JP,1593025780
79,sinnamary,5.38,-52.95,301.21,77,4,3.8,GF,1593025463
80,kungurtug,50.6,97.52,283.48,68,11,0.88,RU,1593025780
81,grand-santi,4.25,-54.38,302.05,82,9,1.76,GF,1593025780
82,saldanha,-33.01,17.94,285.15,71,0,1.0,ZA,1593025513
83,ahuimanu,21.44,-157.84,300.15,61,75,4.6,US,1593025296
84,grand gaube,-20.01,57.66,294.82,74,0,1.34,MU,1593025392
85,bethel,41.37,-73.41,303.15,39,1,5.7,US,1593025261
86,panguna,-6.32,155.48,291.98,89,0,1.08,PG,1593025536
87,dhidhdhoo,6.88,73.1,301.65,79,100,7.17,MV,1593025780
